"applicant_age","count"
21,"1638"
22,"1766"
23,"1694"
24,"1695"
25,"1796"
26,"1621"
27,"2129"
28,"1518"
29,"1602"
30,"1806"
31,"1674"
32,"1486"
33,"1996"
34,"1745"
35,"1884"
36,"1338"
37,"1620"
38,"1499"
39,"1471"
40,"1693"
41,"1973"
42,"1606"
43,"1667"
44,"1415"
45,"1942"
46,"1372"
47,"1808"
48,"1991"
49,"1683"
50,"1853"
51,"1309"
52,"1222"
53,"1775"
54,"1929"
55,"1848"
56,"1716"
57,"1743"
58,"1732"
59,"1798"
60,"1804"
61,"1691"
62,"1701"
63,"1529"
64,"1635"
65,"1571"
66,"2095"
67,"1581"
68,"1942"
69,"1869"
70,"1695"
71,"1642"
72,"1817"
73,"1355"
74,"1559"
75,"1474"
76,"1828"
77,"1553"
78,"1803"
79,"1803"
