"residence_state","default_risk_ratio"
"Manipur","0.25739644970414201183"
"Tripura","0.19230769230769230769"
"Kerala","0.17962003454231433506"
"Jammu_and_Kashmir","0.17891816920943134535"
"Madhya_Pradesh","0.17254340433148380168"
"Odisha","0.15984724495362793235"
"Rajasthan","0.15881861242685984954"
"Assam","0.14777114777114777115"
"Chhattisgarh","0.14606741573033707865"
"Bihar","0.14427354773102834626"
"Jharkhand","0.13996112191058039433"
"West_Bengal","0.13991637182373753619"
"Himachal_Pradesh","0.13946587537091988131"
"Telangana","0.13724820757937862752"
"Mizoram","0.13235294117647058824"
"Haryana","0.13138211382113821138"
"Gujarat","0.12854648625054561327"
"Uttar_Pradesh[5]","0.12543554006968641115"
"Uttar_Pradesh","0.12421146157263438472"
"Andhra_Pradesh","0.11786958685913389746"
"Maharashtra","0.11636148848198464265"
"Puducherry","0.10424028268551236749"
"Delhi","0.10123683005038937242"
"Karnataka","0.09601024109238318754"
"Tamil_Nadu","0.09598180439727065959"
"Punjab","0.09119830328738069989"
"Chandigarh","0.08235294117647058824"
"Uttarakhand","0.06464379947229551451"
"Sikkim","0.00000000000000000000"
