"occupation","default_risk_ratio"
"Police_officer","0.18611670020120724346"
"Army_officer","0.17590102205486820871"
"Chartered_Accountant","0.16970387243735763098"
"Scientist","0.16800000000000000000"
"Surveyor","0.16702470461868958110"
"Software_Developer","0.16617063492063492063"
"Geologist","0.15687331536388140162"
"Technical_writer","0.15533980582524271845"
"Aviator","0.15434430652995143011"
"Secretary","0.15264187866927592955"
"Official","0.15071151358344113842"
"Hotel_Manager","0.14961013645224171540"
"Air_traffic_controller","0.14710110206037374221"
"Firefighter","0.14560906515580736544"
"Architect","0.14556277056277056277"
"Lawyer","0.14533053515215110178"
"Civil_engineer","0.14356435643564356436"
"Magistrate","0.13462425080682342093"
"Flight_attendant","0.13362276893391220453"
"Computer_hardware_engineer","0.13324112494236975565"
"Consultant","0.13291470434327577185"
"Computer_operator","0.13224821973550356053"
"Biomedical_Engineer","0.12996566944580676802"
"Technician","0.12943632567849686848"
"Statistician","0.12874251497005988024"
"Physician","0.12778235779060181369"
"Chef","0.12741312741312741313"
"Microbiologist","0.12617309697601668405"
"Psychologist","0.12614259597806215722"
"Artist","0.12591815320041972718"
"Comedian","0.12458392772230147408"
"Fashion_Designer","0.12380082229328460484"
"Chemical_engineer","0.12218495448011499760"
"Analyst","0.12074643249176728869"
"Surgeon","0.11955951756685894074"
"Drafter","0.11908110642287857478"
"Engineer","0.11835443037974683544"
"Civil_servant","0.11685261303581914269"
"Web_designer","0.11333023687877380399"
"Politician","0.11303462321792260692"
"Mechanical_engineer","0.11206485455412494039"
"Dentist","0.10964681075382182393"
"Librarian","0.10863509749303621170"
"Designer","0.10660744031093836757"
"Graphic_Designer","0.10587663914521612433"
"Financial_Analyst","0.09956709956709956710"
"Design_Engineer","0.09945652173913043478"
"Industrial_Engineer","0.09587727708533077661"
"Economist","0.09464788732394366197"
"Petroleum_Engineer","0.07692307692307692308"
"Technology_specialist","0.07021276595744680851"
